w,n,k,,,,,,,,,,,,,,,,
12.2,1.1,0.971,,,,,,,,,,,,,,,,
12,1.1,0.969,,,,,,,,,,,,,,,,
11.8,1.11,0.967,,,,,,,,,,,,,,,,
11.6,1.12,0.968,,,,,,,,,,,,,,,,
11.4,1.11,0.958,,,,,,,,,,,,,,,,
11.2,1.11,0.953,,,,,,,,,,,,,,,,
11,1.11,0.95,,,,,,,,,,,,,,,,
10.8,1.1,0.959,,,,,,,,,,,,,,,,
10.6,1.07,0.991,,,,,,,,,,,,,,,,
10.4,1.07,1.02,,,,,,,,,,,,,,,,
10.2,1.06,1.06,,,,,,,,,,,,,,,,
10,1.05,1.09,,,,,,,,,,,,,,,,
9.8,1.08,1.13,,,,,,,,,,,,,,,,
9.6,1.09,1.15,,,,,,,,,,,,,,,,
9.4,1.1,1.17,,,,,,,,,,,,,,,,
9.2,1.12,1.19,,,,,,,,,,,,,,,,
9,1.12,1.2,,,,,,,,,,,,,,,,
8.8,1.13,1.22,,,,,,,,,,,,,,,,
8.6,1.13,1.24,,,,,,,,,,,,,,,,
8.4,1.13,1.26,,,,,,,,,,,,,,,,
8.2,1.13,1.28,,,,,,,,,,,,,,,,
8,1.13,1.32,,,,,,,,,,,,,,,,
7.8,1.15,1.32,,,,,,,,,,,,,,,,
7.6,1.15,1.37,,,,,,,,,,,,,,,,
7.4,1.15,1.4,,,,,,,,,,,,,,,,
7.2,1.13,1.45,,,,,,,,,,,,,,,,
7,1.15,1.49,,,,,,,,,,,,,,,,
6.8,1.2,1.54,,,,,,,,,,,,,,,,
6.6,1.22,1.61,,,,,,,,,,,,,,,,
6.4,1.23,1.67,,,,,,,,,,,,,,,,
6.2,1.28,1.71,,,,,,,,,,,,,,,,
6,1.3,1.73,,,,,,,,,,,,,,,,
5.8,1.32,1.75,,,,,,,,,,,,,,,,
5.6,1.32,1.78,,,,,,,,,,,,,,,,
5.4,1.31,1.82,,,,,,,,,,,,,,,,
5.2,1.32,1.88,,,,,,,,,,,,,,,,
5,1.31,1.95,,,,,,,,,,,,,,,,
1.24,3.23,4.35,,,,,,,,,,,,,,,,
1.116,3.32,4.65,,,,,,,,,,,,,,,,
0.9919,3.42,5.04,,,,,,,,,,,,,,,,
0.8679,3.53,5.54,,,,,,,,,,,,,,,,
0.7439,3.67,6.21,,,,,,,,,,,,,,,,
0.6199,3.84,7.16,,,,,,,,,,,,,,,,
0.5889,3.92,7.5,,,,,,,,,,,,,,,,
0.5579,3.98,7.8,,,,,,,,,,,,,,,,
0.02232,54.2,152,,,,,,,,,,,,,,,,
0.0217,51.2,126,,,,,,,,,,,,,,,,
0.0186,61.3,140,,,,,,,,,,,,,,,,
0.0155,75.2,158,,,,,,,,,,,,,,,,
0.0124,95.4,182,,,,,,,,,,,,,,,,
0.009919,120,207,,,,,,,,,,,,,,,,
0.008059,147,230,,,,,,,,,,,,,,,,
0.006199,183,260,,,,,,,,,,,,,,,,
0.004339,238,306,,,,,,,,,,,,,,,,
20.8,0.892,0.605,,,,,,,,,,,,,,,,
20.6,0.898,0.613,,,,,,,,,,,,,,,,
20.4,0.903,0.62,,,,,,,,,,,,,,,,
20.2,0.905,0.624,,,,,,,,,,,,,,,,
20,0.91,0.632,,,,,,,,,,,,,,,,
19.8,0.919,0.636,,,,,,,,,,,,,,,,
19.6,0.924,0.644,,,,,,,,,,,,,,,,
19.4,0.927,0.647,,,,,,,,,,,,,,,,
19.2,0.933,0.648,,,,,,,,,,,,,,,,
19,0.936,0.652,,,,,,,,,,,,,,,,
18.8,0.938,0.656,,,,,,,,,,,,,,,,
18.6,0.938,0.656,,,,,,,,,,,,,,,,
18.4,0.941,0.659,,,,,,,,,,,,,,,,
18.2,0.941,0.659,,,,,,,,,,,,,,,,
18,0.939,0.665,,,,,,,,,,,,,,,,
17.8,0.944,0.672,,,,,,,,,,,,,,,,
17.6,0.946,0.682,,,,,,,,,,,,,,,,
17.4,0.945,0.688,,,,,,,,,,,,,,,,
17.2,0.947,0.697,,,,,,,,,,,,,,,,
17,0.948,0.707,,,,,,,,,,,,,,,,
16.8,0.952,0.719,,,,,,,,,,,,,,,,
16.6,0.955,0.723,,,,,,,,,,,,,,,,
16.4,0.951,0.731,,,,,,,,,,,,,,,,
16.2,0.944,0.742,,,,,,,,,,,,,,,,
16,0.94,0.75,,,,,,,,,,,,,,,,
15.8,0.941,0.765,,,,,,,,,,,,,,,,
15.6,0.943,0.774,,,,,,,,,,,,,,,,
15.4,0.945,0.783,,,,,,,,,,,,,,,,
15.2,0.949,0.791,,,,,,,,,,,,,,,,
15,0.952,0.798,,,,,,,,,,,,,,,,
14.8,0.959,0.824,,,,,,,,,,,,,,,,
14.6,0.974,0.847,,,,,,,,,,,,,,,,
14.4,0.988,0.87,,,,,,,,,,,,,,,,
14.2,0.993,0.881,,,,,,,,,,,,,,,,
14,1,0.889,,,,,,,,,,,,,,,,
13.8,1,0.898,,,,,,,,,,,,,,,,
13.6,1.01,0.911,,,,,,,,,,,,,,,,
13.4,1.02,0.925,,,,,,,,,,,,,,,,
13.2,1.03,0.935,,,,,,,,,,,,,,,,
13,1.05,0.951,,,,,,,,,,,,,,,,
12.8,1.06,0.964,,,,,,,,,,,,,,,,
12.6,1.08,0.972,,,,,,,,,,,,,,,,
12.4,1.09,0.968,,,,,,,,,,,,,,,,
0.5269,4.04,8.18,,,,,,,,,,,,,,,,
0.4959,4.13,8.59,,,,,,,,,,,,,,,,
0.4649,4.22,9.02,,,,,,,,,,,,,,,,
0.4339,4.3,9.55,,,,,,,,,,,,,,,,
0.403,4.39,10.1,,,,,,,,,,,,,,,,
0.372,4.45,10.8,,,,,,,,,,,,,,,,
0.341,4.51,11.6,,,,,,,,,,,,,,,,
0.31,4.54,12.6,,,,,,,,,,,,,,,,
0.279,4.59,13.8,,,,,,,,,,,,,,,,
0.248,4.59,15.4,,,,,,,,,,,,,,,,
0.2356,4.6,16.2,,,,,,,,,,,,,,,,
0.2232,4.63,17.1,,,,,,,,,,,,,,,,
0.2108,4.66,18.1,,,,,,,,,,,,,,,,
0.1984,4.96,19.2,,,,,,,,,,,,,,,,
0.186,4.75,20.5,,,,,,,,,,,,,,,,
0.1736,4.89,22,,,,,,,,,,,,,,,,
0.1612,5.1,23.7,,,,,,,,,,,,,,,,
0.1488,5.37,25.6,,,,,,,,,,,,,,,,
0.1364,5.59,27.8,,,,,,,,,,,,,,,,
0.124,5.81,30.4,,,,,,,,,,,,,,,,
0.1178,5.95,32,,,,,,,,,,,,,,,,
0.1116,6.12,33.7,,,,,,,,,,,,,,,,
0.1054,6.31,35.7,,,,,,,,,,,,,,,,
0.09919,6.48,37.7,,,,,,,,,,,,,,,,
0.09299,6.88,40.3,,,,,,,,,,,,,,,,
0.08679,7.3,43.2,,,,,,,,,,,,,,,,
0.08059,7.71,46.5,,,,,,,,,,,,,,,,
0.07439,8.38,50.3,,,,,,,,,,,,,,,,
0.06819,9.04,54.7,,,,,,,,,,,,,,,,
0.06199,9.87,60.1,,,,,,,,,,,,,,,,
0.05951,10.3,62.6,,,,,,,,,,,,,,,,
0.05703,10.7,65.4,,,,,,,,,,,,,,,,
0.05455,11.3,68.6,,,,,,,,,,,,,,,,
0.05207,12,71.9,,,,,,,,,,,,,,,,
0.04959,13,75.7,,,,,,,,,,,,,,,,
0.04711,14.2,79.8,,,,,,,,,,,,,,,,
0.04463,15.7,84.5,,,,,,,,,,,,,,,,
0.04215,17.7,89.3,,,,,,,,,,,,,,,,
0.03968,19.9,94.5,,,,,,,,,,,,,,,,
0.0372,22.5,100,,,,,,,,,,,,,,,,
0.03472,25.2,106,,,,,,,,,,,,,,,,
0.03224,29.1,114,,,,,,,,,,,,,,,,
0.02976,33.6,122,,,,,,,,,,,,,,,,
0.02728,38.6,130,,,,,,,,,,,,,,,,
0.0248,45.7,141,,,,,,,,,,,,,,,,
